rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
69,核污染防治,1471.01,0.9,80.69,70.19,1049000000.0,58,航天晨光,10.0,30.13,2026-01-04,00:29:05
70,腾讯概念,1365.46,0.89,656.29,634.75,2154000000.0,287,蓝色光标,20.0,11.52,2026-01-04,00:29:05
71,DeepSeek概念,1711.86,0.89,1291.74,1240.16,5158000000.0,754,蓝色光标,20.0,11.52,2026-01-04,00:29:05
72,知识产权保护,1876.56,0.89,61.69,49.85,1185000000.0,51,掌阅科技,9.99,22.12,2026-01-04,00:29:05
73,网红经济,1555.17,0.88,174.34,134.57,3977000000.0000005,117,蓝色光标,20.0,11.52,2026-01-04,00:29:05
74,拼多多概念,1785.94,0.87,60.34,56.72,363000000.0,40,易点天下,10.23,40.5,2026-01-04,00:29:05
75,无人机,3167.83,0.87,1178.37,1156.27,2210000000.0,435,久之洋,20.0,80.7,2026-01-04,00:29:05
76,国产操作系统,2029.78,0.86,214.43,208.99,544000000.0,132,御银股份,10.06,9.41,2026-01-04,00:29:05
77,共享单车,1277.66,0.86,4.92,4.77,15000000.0,12,新日股份,8.24,14.06,2026-01-04,00:29:05
78,虚拟现实,1014.23,0.85,694.63,694.04,59000000.0,284,蓝色光标,20.0,11.52,2026-01-04,00:29:05
79,蚂蚁集团概念,1779.19,0.82,159.43,147.02,1241000000.0,79,中科江南,20.0,24.72,2026-01-04,00:29:05
80,智慧城市,4569.11,0.81,585.85,621.71,-3586000000.0,417,立方控股,24.93,28.96,2026-01-04,00:29:05
81,MicroLED概念,1456.72,0.81,108.94,94.46,1449000000.0,53,乾照光电,15.75,27.56,2026-01-04,00:29:05
82,阿里巴巴概念,2031.16,0.81,750.58,746.79,379000000.0,666,立方控股,24.93,28.96,2026-01-04,00:29:05
83,数字经济,1702.75,0.8,793.49,799.22,-573000000.0,496,久之洋,20.0,80.7,2026-01-04,00:29:05
84,DRG/DIP,1152.35,0.79,22.6,20.36,224000000.00000003,22,佳缘科技,5.22,53.25,2026-01-04,00:29:05
85,人工智能,1385.03,0.77,1714.1,1702.4,1171000000.0,1028,立方控股,24.93,28.96,2026-01-04,00:29:05
86,MR(混合现实),1610.84,0.74,207.36,220.18,-1282000000.0,69,航天发展,10.0,33.01,2026-01-04,00:29:05
87,电子竞技,543.241,0.71,32.44,35.92,-348000000.0,34,雷神科技,10.23,28.01,2026-01-04,00:29:05
88,京津冀一体化,2102.71,0.71,461.41,421.82,3959000000.0000005,276,福石控股,10.68,6.53,2026-01-04,00:29:05
89,汽车拆解概念,1541.1,0.7,56.96,59.44,-248000000.0,46,华新环保,5.78,13.91,2026-01-04,00:29:05
90,数字乡村,2002.53,0.69,121.47,129.64,-817000000.0,95,烽火通信,10.01,32.08,2026-01-04,00:29:05
91,数字孪生,1968.98,0.67,258.15,255.12,303000000.0,190,中科星图,11.07,59.0,2026-01-04,00:29:05
92,电子纸,1218.49,0.67,39.61,28.76,1085000000.0,24,掌阅科技,9.99,22.12,2026-01-04,00:29:05
93,C2M概念,1923.85,0.67,41.82,35.38,645000000.0,39,天创时尚,10.04,10.3,2026-01-04,00:29:05
94,国资云,1611.23,0.66,83.52,93.84,-1032000000.0,52,烽火通信,10.01,32.08,2026-01-04,00:29:05
95,网络游戏,1696.83,0.65,119.59,114.0,559000000.0,66,协创数据,7.51,168.68,2026-01-04,00:29:05
96,央企国企改革,3205.13,0.65,892.14,851.29,4085000000.0,780,久之洋,20.0,80.7,2026-01-04,00:29:05
97,互联网金融,6795.21,0.64,306.48,303.39,310000000.0,214,中科江南,20.0,24.72,2026-01-04,00:29:05
98,自由贸易港,1153.33,0.61,88.46,77.23,1124000000.0,45,中创物流,10.02,13.73,2026-01-04,00:29:05
99,免税店,1207.99,0.61,98.05,82.72,1532000000.0,28,海南发展,7.15,23.84,2026-01-04,00:29:05
100,独角兽概念,2082.33,0.6,292.7,306.99,-1429000000.0,111,星环科技,10.92,108.19,2026-01-04,00:29:05
101,可控核聚变,2202.3,0.6,251.75,279.25,-2751000000.0,104,王子新材,10.01,18.03,2026-01-04,00:29:05
102,手机游戏,3022.53,0.6,84.83,80.83,400000000.0,59,ST赛为,5.28,3.99,2026-01-04,00:29:05
103,互联网保险,1099.9,0.58,59.0,61.55,-254999999.99999997,20,焦点科技,3.27,45.76,2026-01-04,00:29:05
104,食品安全,4730.61,0.57,61.85,57.47,438999999.99999994,81,安居宝,8.96,6.57,2026-01-04,00:29:05
105,中字头股票,1811.2,0.57,366.57,335.71,3086000000.0,134,中科星图,11.07,59.0,2026-01-04,00:29:05
106,足球概念,1489.58,0.52,16.5,17.63,-112999999.99999999,35,凯文教育,9.94,5.86,2026-01-04,00:29:05
107,语音技术,2132.46,0.52,86.33,96.44,-1011000000.0,64,安居宝,8.96,6.57,2026-01-04,00:29:05
108,同花顺中特估100,1208.35,0.52,377.46,353.74,2373000000.0,100,中国卫通,10.01,35.73,2026-01-04,00:29:05
109,智能音箱,2633.56,0.52,200.56,208.36,-780000000.0,58,信维通信,16.98,62.0,2026-01-04,00:29:05
110,毫米波雷达,2022.37,0.51,313.8,336.52,-2272000000.0,122,信维通信,16.98,62.0,2026-01-04,00:29:05
111,旅游概念,3026.59,0.5,197.62,194.46,316000000.0,148,顺控发展,10.01,15.93,2026-01-04,00:29:05
112,IP经济(谷子经济),1365.0,0.48,174.45,172.47,198000000.0,190,雷神科技,10.23,28.01,2026-01-04,00:29:05
113,华为概念,3402.72,0.46,1864.04,1965.18,-10114000000.0,995,蓝色光标,20.0,11.52,2026-01-04,00:29:05
114,上海自贸区,4422.34,0.46,96.76,103.9,-714000000.0,58,申达股份,10.02,4.83,2026-01-04,00:29:05
115,天津自贸区,1145.74,0.46,5.84,6.07,-22000000.0,15,天津普林,5.22,26.79,2026-01-04,00:29:05
116,地下管网,1387.31,0.45,58.14,59.03,-89000000.0,100,顺控发展,10.01,15.93,2026-01-04,00:29:05
117,共同富裕示范区,1532.81,0.44,129.13,144.97,-1584000000.0,184,万事利,19.99,19.69,2026-01-04,00:29:05
118,算力租赁,1359.53,0.44,225.79,256.08,-3030000000.0,156,南兴股份,10.0,19.47,2026-01-04,00:29:05
119,EDR概念,1565.38,0.43,57.49,59.4,-190000000.0,20,协创数据,7.51,168.68,2026-01-04,00:29:05
120,长三角一体化,1863.38,0.43,197.98,217.25,-1927000000.0,254,合肥城建,10.04,12.38,2026-01-04,00:29:05
121,化债概念(AMC概念),1291.16,0.43,45.14,39.59,555000000.0,42,长亮科技,5.67,15.48,2026-01-04,00:29:05
122,创投,3602.0,0.42,828.58,906.02,-7744000000.0,448,蓝色光标,20.0,11.52,2026-01-04,00:29:05
123,海南自贸区,1852.38,0.42,101.76,94.87,689000000.0,29,海南发展,7.15,23.84,2026-01-04,00:29:05
124,跨境电商,1039.28,0.41,396.37,373.22,2315000000.0,336,蓝色光标,20.0,11.52,2026-01-04,00:29:05
125,MiniLED,2070.93,0.4,178.96,171.46,749000000.0,94,乾照光电,15.75,27.56,2026-01-04,00:29:05
126,光刻机,1916.59,0.4,99.35,102.72,-337000000.0,48,张江高科,6.63,43.9,2026-01-04,00:29:05
127,黑龙江自贸区,1782.01,0.4,46.48,44.98,150000000.0,37,广联航空,10.62,39.07,2026-01-04,00:29:05
128,物联网,3158.0,0.39,877.23,934.62,-5739000000.0,456,信维通信,16.98,62.0,2026-01-04,00:29:05
129,水利,2625.75,0.38,377.49,390.67,-1318000000.0,253,中科星图,11.07,59.0,2026-01-04,00:29:05
130,智能穿戴,4026.5,0.38,506.02,512.38,-636000000.0,222,信维通信,16.98,62.0,2026-01-04,00:29:05
131,横琴新区,2012.58,0.37,47.57,47.68,-11000000.0,43,恒基达鑫,7.37,8.74,2026-01-04,00:29:05
132,星闪概念,1526.42,0.37,120.73,123.17,-244000000.0,75,雷神科技,10.23,28.01,2026-01-04,00:29:05
133,智能医疗,4642.01,0.35,403.6,399.39,421000000.0,310,德生科技,10.03,10.53,2026-01-04,00:29:05
134,碳交易,1023.69,0.35,113.08,114.13,-105000000.0,109,中科星图,11.07,59.0,2026-01-04,00:29:05
135,机器视觉,1927.68,0.35,334.21,360.71,-2650000000.0,242,富吉瑞,14.4,32.66,2026-01-04,00:29:05
136,国企改革,1469.01,0.34,2031.14,2061.1,-2996000000.0,2888,久之洋,20.0,80.7,2026-01-04,00:29:05
137,核电,4003.04,0.34,531.0,581.56,-5056000000.0,325,飞沃科技,17.91,168.37,2026-01-04,00:29:05
138,雄安新区,1215.26,0.34,173.49,181.84,-835000000.0,187,乐凯胶片,10.02,10.32,2026-01-04,00:29:05
139,海工装备,3673.12,0.33,587.88,630.46,-4258000000.0,262,久之洋,20.0,80.7,2026-01-04,00:29:05
140,智慧灯杆,1538.08,0.33,45.31,47.07,-176000000.0,64,崧盛股份,8.53,36.41,2026-01-04,00:29:05
141,光热发电,1066.44,0.33,37.44,42.6,-516000000.0,42,航天晨光,10.0,30.13,2026-01-04,00:29:05
142,房屋检测,1766.48,0.32,25.79,21.94,385000000.0,46,华建集团,9.98,21.7,2026-01-04,00:29:05
143,可燃冰,1538.68,0.32,11.87,12.71,-84000000.0,14,海默科技,3.74,9.99,2026-01-04,00:29:05
144,赛马概念,1045.3,0.31,5.1,6.13,-103000000.0,6,*ST正平,4.38,5.72,2026-01-04,00:29:05
145,雅下水电概念,1370.4,0.31,99.69,115.62,-1593000000.0,88,志特新材,8.97,11.18,2026-01-04,00:29:05
146,柔性屏(折叠屏),2706.71,0.3,247.94,237.57,1036999999.9999999,106,信维通信,16.98,62.0,2026-01-04,00:29:05
147,青蒿素,1916.65,0.3,4.1,3.93,17000000.0,10,润都股份,1.08,12.15,2026-01-04,00:29:05
148,家用电器,4199.83,0.3,387.03,421.96,-3494000000.0,175,乾照光电,15.75,27.56,2026-01-04,00:29:05
149,体育产业,1103.62,0.3,106.52,117.07,-1055000000.0000001,130,凯文教育,9.94,5.86,2026-01-04,00:29:05
150,无人驾驶,2970.46,0.27,810.84,922.14,-11129000000.0,387,久之洋,20.0,80.7,2026-01-04,00:29:05
151,黄金概念,3479.3,0.27,252.46,263.64,-1118000000.0,77,江西铜业,9.29,54.92,2026-01-04,00:29:05
152,东数西算(算力),2128.01,0.26,821.48,968.62,-14713999999.999998,351,中科星图,11.07,59.0,2026-01-04,00:29:05
153,毛发医疗,1142.61,0.26,9.84,10.75,-92000000.0,24,水羊股份,9.56,23.84,2026-01-04,00:29:05
154,烟草,1603.62,0.26,14.67,14.7,-3000000.0,40,衢州东峰,3.87,4.3,2026-01-04,00:29:05
155,家庭医生,1331.83,0.26,49.96,48.28,168000000.0,27,思创医惠,4.48,4.43,2026-01-04,00:29:05
156,高股息精选,1450.28,0.25,18.61,18.36,25000000.0,20,景津装备,2.55,16.87,2026-01-04,00:29:05
157,新型城镇化,1314.97,0.25,126.26,129.58,-332000000.0,216,合肥城建,10.04,12.38,2026-01-04,00:29:05
158,血氧仪,1460.9,0.24,9.82,9.88,-6000000.0,24,科翔股份,5.99,19.29,2026-01-04,00:29:05
159,工业大麻,1589.79,0.24,18.62,34.95,-1632999999.9999998,31,顺灏股份,10.02,18.33,2026-01-04,00:29:05
160,土壤修复,1054.4,0.23,60.61,74.82,-1421000000.0,91,顺灏股份,10.02,18.33,2026-01-04,00:29:05
161,特钢概念,3469.91,0.22,35.43,42.22,-679000000.0,41,五洲新春,10.0,69.98,2026-01-04,00:29:05
162,工业互联网,2771.8,0.22,788.86,861.89,-7303000000.0,412,飞沃科技,17.91,168.37,2026-01-04,00:29:05
163,净水概念,1121.28,0.21,42.23,48.98,-675000000.0,76,顺控发展,10.01,15.93,2026-01-04,00:29:05
164,三胎概念,2427.02,0.21,94.69,111.21,-1652000000.0,210,延江股份,11.68,14.82,2026-01-04,00:29:05
165,啤酒概念,1659.88,0.21,25.36,41.1,-1574000000.0,30,嘉美包装,6.83,12.66,2026-01-04,00:29:05
166,HJT电池,2782.99,0.21,87.74,101.16,-1343000000.0,63,国晟科技,7.84,17.6,2026-01-04,00:29:05
167,乡村振兴,1220.54,0.2,481.86,525.33,-4348000000.0,413,德生科技,10.03,10.53,2026-01-04,00:29:05
168,无人零售,1679.74,0.2,42.84,42.42,41000000.0,25,思创医惠,4.48,4.43,2026-01-04,00:29:05
169,深圳国企改革,1862.24,0.19,14.97,16.38,-141000000.0,58,中新赛克,3.5,30.14,2026-01-04,00:29:05
170,高端装备,3361.5,0.19,702.61,685.93,1669000000.0000002,345,广联航空,10.62,39.07,2026-01-04,00:29:05
171,智能家居,3817.17,0.18,349.18,389.67,-4049000000.0,276,乾照光电,15.75,27.56,2026-01-04,00:29:05
172,PPP概念,967.826,0.18,143.25,154.8,-1155000000.0,200,华建集团,9.98,21.7,2026-01-04,00:29:05
173,污水处理,1808.85,0.18,188.14,203.24,-1510000000.0,226,顺控发展,10.01,15.93,2026-01-04,00:29:05
174,OLED,2439.21,0.18,279.58,291.11,-1153000000.0,149,联创光电,9.99,63.06,2026-01-04,00:29:05
175,民爆概念,1805.96,0.18,26.83,25.98,86000000.0,25,广东宏大,7.44,47.8,2026-01-04,00:29:05
176,参股保险,1505.12,0.17,70.85,66.51,433000000.0,114,乐凯胶片,10.02,10.32,2026-01-04,00:29:05
177,参股券商,1606.02,0.17,165.48,179.44,-1395000000.0,232,鲁信创投,10.01,24.73,2026-01-04,00:29:05
178,高压氧舱,1286.42,0.17,5.66,6.86,-120000000.0,11,金陵药业,5.58,7.95,2026-01-04,00:29:05
179,金属钴,2669.84,0.16,172.64,180.94,-831000000.0,33,华新环保,5.78,13.91,2026-01-04,00:29:05
180,宠物经济,1571.05,0.16,60.48,70.01,-952999999.9999999,125,巴比食品,10.01,31.32,2026-01-04,00:29:05
181,养老概念,2329.21,0.15,149.09,164.48,-1540000000.0,207,合肥城建,10.04,12.38,2026-01-04,00:29:05
182,3D打印,4216.13,0.15,272.01,296.1,-2409000000.0,127,爱乐达,11.61,31.91,2026-01-04,00:29:05
183,ETC,1957.94,0.15,48.63,53.66,-503000000.0,42,航天长峰,4.83,21.04,2026-01-04,00:29:05
184,装配式建筑,1006.08,0.14,50.26,52.17,-191000000.0,108,华建集团,9.98,21.7,2026-01-04,00:29:05
185,代糖概念,949.576,0.14,17.58,18.94,-136000000.0,23,鲁信创投,10.01,24.73,2026-01-04,00:29:05
186,医疗废物处理,1449.66,0.14,12.23,14.16,-193000000.0,41,*ST辉丰,5.14,1.84,2026-01-04,00:29:05
187,一带一路,2465.37,0.14,1166.25,1245.26,-7901000000.000001,740,信维通信,16.98,62.0,2026-01-04,00:29:05
188,新型烟草(电子烟),1780.04,0.14,85.53,109.21,-2368000000.0,53,顺灏股份,10.02,18.33,2026-01-04,00:29:05
189,超级品牌,1542.52,0.14,90.96,121.85,-3089000000.0,47,养元饮品,9.98,28.75,2026-01-04,00:29:05
190,金属回收,1163.53,0.13,158.47,173.55,-1508000000.0,78,江西铜业,9.29,54.92,2026-01-04,00:29:05
191,西部大开发,1863.36,0.13,794.76,865.97,-7120000000.0,630,爱乐达,11.61,31.91,2026-01-04,00:29:05
192,金属铜,1714.19,0.13,290.63,304.0,-1337000000.0,90,江西铜业,9.29,54.92,2026-01-04,00:29:05
193,光纤概念,2502.06,0.11,265.81,293.1,-2729000000.0,83,久之洋,20.0,80.7,2026-01-04,00:29:05
194,AI眼镜,2349.82,0.11,409.94,434.12,-2418000000.0,176,信维通信,16.98,62.0,2026-01-04,00:29:05
195,冰雪产业,1491.96,0.11,54.85,63.7,-885000000.0,57,凯文教育,9.94,5.86,2026-01-04,00:29:05
196,融资融券,1784.54,0.11,5908.19,6360.18,-45199000000.0,3766,蘅东光,878.16,309.0,2026-01-04,00:29:05
197,电力物联网,2107.75,0.11,54.71,61.42,-671000000.0,82,索菱股份,10.0,6.05,2026-01-04,00:29:05
198,TOPCON电池,1007.15,0.1,125.72,143.84,-1811000000.0,77,百达精工,10.04,14.25,2026-01-04,00:29:05
199,证金持股,1215.42,0.1,605.91,654.14,-4822000000.0,223,江西铜业,9.29,54.92,2026-01-04,00:29:05
200,基因测序,2008.79,0.1,42.68,47.7,-501999999.99999994,71,明德生物,7.63,19.18,2026-01-04,00:29:05
201,物业管理,1291.53,0.09,176.12,186.67,-1055000000.0000001,178,御银股份,10.06,9.41,2026-01-04,00:29:05
202,固废处理,2173.43,0.09,114.49,125.55,-1106000000.0,153,顺控发展,10.01,15.93,2026-01-04,00:29:05
203,科创次新股,593.654,0.09,46.62,49.59,-297000000.0,19,强一股份,13.62,256.8,2026-01-04,00:29:05
204,特色小镇,547.808,0.09,36.39,35.59,80000000.0,40,光明地产,6.0,3.89,2026-01-04,00:29:05
205,粤港澳大湾区,2600.96,0.09,633.28,727.96,-9468000000.0,458,信维通信,16.98,62.0,2026-01-04,00:29:05
206,深股通,1327.92,0.09,3497.39,3758.11,-26072000000.000004,1723,蓝色光标,20.0,11.52,2026-01-04,00:29:05
207,光刻胶,3920.29,0.09,86.33,91.03,-470000000.0,73,安达智能,6.35,135.05,2026-01-04,00:29:05
208,苹果概念,4915.21,0.08,360.8,395.38,-3457000000.0,136,信维通信,16.98,62.0,2026-01-04,00:29:05
209,股权转让(并购重组),1091.86,0.07,391.84,456.94,-6509999999.999999,836,天创时尚,10.04,10.3,2026-01-04,00:29:05
210,沪股通,2334.31,0.06,2495.17,2694.7,-19953000000.0,1535,航天环宇,14.55,55.96,2026-01-04,00:29:05
211,高铁,3814.42,0.06,206.36,229.61,-2325000000.0,175,神剑股份,9.97,14.34,2026-01-04,00:29:05
212,5G,5707.44,0.06,1197.27,1386.07,-18880000000.0,441,挖金客,20.0,37.8,2026-01-04,00:29:05
213,智能座舱,1623.6,0.05,323.52,363.0,-3947999999.9999995,161,宏英智能,10.0,39.37,2026-01-04,00:29:05
214,碳纤维,2115.97,0.05,140.47,148.31,-784000000.0,73,广联航空,10.62,39.07,2026-01-04,00:29:05
215,同花顺果指数,1904.95,0.05,212.68,241.87,-2919000000.0,20,信维通信,16.98,62.0,2026-01-04,00:29:05
216,中芯国际概念,2307.46,0.05,215.07,228.13,-1306000000.0,84,精测电子,7.31,91.2,2026-01-04,00:29:05
217,专精特新,1583.47,0.04,1003.32,1087.85,-8453000000.0,1143,天铭科技,29.96,25.68,2026-01-04,00:29:05
218,POE胶膜,867.829,0.04,17.86,18.55,-69000000.0,28,鹿山新材,3.52,21.19,2026-01-04,00:29:05
219,芯片概念,4165.61,0.04,2144.66,2339.74,-19508000000.0,831,久之洋,20.0,80.7,2026-01-04,00:29:05
220,特高压,4337.86,0.04,222.82,237.76,-1494000000.0,117,烽火通信,10.01,32.08,2026-01-04,00:29:05
221,小金属概念,3256.94,0.04,461.44,478.63,-1719000000.0000002,157,江西铜业,9.29,54.92,2026-01-04,00:29:05
222,俄乌冲突概念,1415.67,0.04,159.81,167.07,-726000000.0,75,中创物流,10.02,13.73,2026-01-04,00:29:05
223,智能物流,1169.43,0.03,323.84,336.26,-1242000000.0,233,中创物流,10.02,13.73,2026-01-04,00:29:05
224,ST板块,544.842,0.03,35.41,45.7,-1028999999.9999999,176,ST赛为,5.28,3.99,2026-01-04,00:29:05
225,机器人概念,4054.43,0.03,1839.06,2016.79,-17773000000.0,1145,天铭科技,29.96,25.68,2026-01-04,00:29:05
226,无线耳机,2375.72,0.03,301.68,334.64,-3296000000.0,97,信维通信,16.98,62.0,2026-01-04,00:29:05
227,NMN概念,1339.47,0.03,8.47,10.82,-235000000.0,25,安琪酵母,2.15,43.74,2026-01-04,00:29:05
228,中俄贸易概念,1777.92,0.02,145.81,165.56,-1975000000.0,175,中创物流,10.02,13.73,2026-01-04,00:29:05
229,回购增持再贷款概念,1456.35,0.02,893.35,967.79,-7444000000.0,479,信维通信,16.98,62.0,2026-01-04,00:29:05
230,小米概念,2019.27,0.02,850.04,909.57,-5954000000.0,367,易点天下,10.23,40.5,2026-01-04,00:29:05
231,水泥概念,1275.19,0.02,18.35,22.25,-390000000.0,44,上峰水泥,9.99,12.99,2026-01-04,00:29:05
232,人造肉,1532.73,0.01,7.39,9.38,-199000000.0,20,安琪酵母,2.15,43.74,2026-01-04,00:29:05
233,眼科医疗,1841.09,0.01,43.39,46.8,-341000000.0,54,普瑞眼科,6.23,32.89,2026-01-04,00:29:05
234,两轮车,1955.28,0.01,71.79,82.55,-1076000000.0,64,王子新材,10.01,18.03,2026-01-04,00:29:05
235,金属镍,1208.3,0.01,131.71,139.78,-807000000.0,39,华新环保,5.78,13.91,2026-01-04,00:29:05
236,托育服务,1126.26,0.0,27.16,32.32,-516000000.0,16,豆神教育,2.69,7.24,2026-01-04,00:29:05
237,生态农业,1756.83,0.0,43.21,63.38,-2017000000.0000002,56,顺灏股份,10.02,18.33,2026-01-04,00:29:05
238,传感器,1575.97,-0.01,473.66,497.72,-2406000000.0,260,久之洋,20.0,80.7,2026-01-04,00:29:05
239,合成生物,1593.04,-0.01,94.79,115.43,-2064000000.0,162,水羊股份,9.56,23.84,2026-01-04,00:29:05
240,猴痘概念,929.746,-0.01,33.83,42.94,-911000000.0,74,明德生物,7.63,19.18,2026-01-04,00:29:05
241,天然气,1594.86,-0.02,127.43,145.28,-1785000000.0000002,161,美能能源,10.02,14.71,2026-01-04,00:29:05
242,航运概念,1744.16,-0.02,65.43,78.56,-1313000000.0,85,中创物流,10.02,13.73,2026-01-04,00:29:05
