rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
292,盐湖提锂,1870.83,-0.2,187.46,208.71,-2126000000.0000002,47,*ST正平,4.38,5.72,2026-01-04,00:29:05
293,第三代半导体,1938.37,-0.2,306.14,344.63,-3849000000.0,157,乾照光电,15.75,27.56,2026-01-04,00:29:05
294,光伏概念,4030.12,-0.22,760.92,913.59,-15266999999.999998,558,乾照光电,15.75,27.56,2026-01-04,00:29:05
295,柔性直流输电,1352.96,-0.22,75.08,90.68,-1559000000.0,54,中超控股,6.79,8.02,2026-01-04,00:29:05
296,金属铅,1726.33,-0.23,133.67,144.4,-1073000000.0,36,国城矿业,3.5,27.8,2026-01-04,00:29:05
297,垃圾分类,1911.58,-0.23,82.25,98.7,-1645000000.0,97,顺控发展,10.01,15.93,2026-01-04,00:29:05
298,动力电池回收,915.888,-0.23,208.71,242.86,-3414000000.0,91,泰尔股份,10.04,12.38,2026-01-04,00:29:05
299,统一大市场,1470.74,-0.23,81.36,101.76,-2039999999.9999998,118,中创物流,10.02,13.73,2026-01-04,00:29:05
300,辅助生殖,1241.24,-0.24,31.5,42.52,-1102000000.0,72,明德生物,7.63,19.18,2026-01-04,00:29:05
301,流感,1470.62,-0.25,52.47,64.31,-1184000000.0,182,明德生物,7.63,19.18,2026-01-04,00:29:05
302,牙科医疗,1114.24,-0.25,28.96,27.47,149000000.0,28,银邦股份,6.38,15.51,2026-01-04,00:29:05
303,华为汽车,3227.28,-0.25,438.97,478.18,-3921000000.0,171,通宇通讯,7.56,42.7,2026-01-04,00:29:05
304,粮食概念,950.878,-0.25,20.84,24.0,-316000000.0,47,*ST辉丰,5.14,1.84,2026-01-04,00:29:05
305,维生素,1417.14,-0.25,22.06,28.02,-596000000.0,74,圣达生物,5.98,17.72,2026-01-04,00:29:05
306,AI手机,1951.81,-0.26,154.63,175.97,-2134000000.0,34,铂力特,9.32,111.51,2026-01-04,00:29:05
307,铜缆高速连接,2411.22,-0.26,172.44,201.62,-2918000000.0,43,通宇通讯,7.56,42.7,2026-01-04,00:29:05
308,一体化压铸,1345.68,-0.27,63.8,79.33,-1553000000.0,56,友升股份,4.74,60.5,2026-01-04,00:29:05
309,PCB概念,1863.33,-0.28,322.45,394.06,-7161000000.0,181,立方控股,24.93,28.96,2026-01-04,00:29:05
310,充电桩,6305.11,-0.28,546.05,690.39,-14434000000.0,381,立方控股,24.93,28.96,2026-01-04,00:29:05
311,注册制次新股,191.263,-0.28,86.52,92.98,-646000000.0,90,新广益,225.22,71.32,2026-01-04,00:29:05
312,比亚迪概念,1918.17,-0.29,1135.05,1260.39,-12534000000.0,649,新广益,225.22,71.32,2026-01-04,00:29:05
313,冷链物流,1913.52,-0.29,128.13,166.86,-3872999999.9999995,153,中创物流,10.02,13.73,2026-01-04,00:29:05
314,超超临界发电,1509.44,-0.29,85.34,103.65,-1830999999.9999998,87,金通灵,6.36,3.18,2026-01-04,00:29:05
315,医美概念,1333.18,-0.29,46.67,56.21,-953999999.9999999,93,水羊股份,9.56,23.84,2026-01-04,00:29:05
316,工业母机,1874.81,-0.3,157.37,184.54,-2718000000.0,108,南兴股份,10.0,19.47,2026-01-04,00:29:05
317,广东自贸区,1353.19,-0.3,14.74,15.31,-56999999.99999999,27,粤桂股份,4.91,19.46,2026-01-04,00:29:05
318,丙烯酸,1836.14,-0.3,14.19,14.24,-5000000.0,18,天龙集团,4.26,8.57,2026-01-04,00:29:05
319,燃料电池,2066.18,-0.3,397.94,444.11,-4617000000.0,209,蜀道装备,8.4,20.0,2026-01-04,00:29:05
320,绿色电力,1152.2,-0.31,336.03,409.8,-7377000000.0,367,顺控发展,10.01,15.93,2026-01-04,00:29:05
321,白酒概念,6963.19,-0.32,50.38,72.57,-2218000000.0,50,巨力索具,7.23,9.2,2026-01-04,00:29:05
322,生物质能发电,1082.81,-0.32,23.96,33.34,-938000000.0000001,58,三峰环境,2.42,8.47,2026-01-04,00:29:05
