序号,名称,最新涨跌幅,北向资金今日持股-股票只数,北向资金今日持股-市值,北向资金今日持股-占板块比,北向资金今日持股-占北向资金比,北向资金今日增持估计-股票只数,北向资金今日增持估计-市值,北向资金今日增持估计-市值增幅,北向资金今日增持估计-占板块比,北向资金今日增持估计-占北向资金比,今日增持最大股-市值,今日增持最大股-占总市值比,今日减持最大股-市值,今日减持最大股-占总市值比,报告时间,fetch_date,direction
33,塑料制品,0.13,17,2487517685.03,0.021502857512,0.001412140747,2,-47306066.2202,-1.84691984,-0.000408927988,-2.6855216e-05,斯迪克,斯迪克,华峰超纤,双星新材,2024-08-16,2026-01-04,northbound
34,农药兽药,0.29,22,2111663159.48,0.013565238562,0.001198771615,4,-49185678.7162,-2.24775675,-0.000315966807,-2.7922254e-05,海利尔,海利尔,生物股份,联化科技,2024-08-16,2026-01-04,northbound
35,燃气,0.17,17,3427434548.26,0.014985351072,0.001945722844,2,-58015634.149,-1.66377729,-0.000253654631,-3.2934938e-05,新奥股份,新奥股份,新天然气,新天然气,2024-08-16,2026-01-04,northbound
36,公用事业,0.82,12,1786834746.48,0.012226090387,0.001014369534,2,-59104247.4642,-3.16063561,-0.000404410018,-3.3552934e-05,杭州热电,杭州热电,兴蓉环境,兴蓉环境,2024-08-16,2026-01-04,northbound
37,纺织服装,0.67,20,5210408436.94,0.019831418837,0.002957900604,5,-59945705.9421,-1.12754506,-0.00022816031,-3.4030622e-05,富安娜,富安娜,雅戈尔,报喜鸟,2024-08-16,2026-01-04,northbound
38,美容护理,0.69,15,9852218141.97,0.043889119625,0.005593012975,3,-61663924.7535,-0.62566452,-0.000274697061,-3.5006039e-05,名臣健康,名臣健康,贝泰妮,水羊股份,2024-08-16,2026-01-04,northbound
39,医药商业,-1.4,20,9761390989.34,0.035348634142,0.005541451242,13,-62126803.3956,-0.62458556,-0.000224977941,-3.5268811e-05,大参林,瑞康医药,老百姓,老百姓,2024-08-16,2026-01-04,northbound
40,交运设备,0.44,17,10918805376.74,0.022146567953,0.006198504668,6,-62662136.9257,-0.56668039,-0.000127097354,-3.5572715e-05,宗申动力,宗申动力,中国中车,春风动力,2024-08-16,2026-01-04,northbound
41,计算机设备,1.63,25,7618645101.46,0.012011777593,0.00432503425,10,-66412795.9149,-0.86242525,-0.000104708347,-3.7701929e-05,纳思达,智微智能,浪潮信息,古鳌科技,2024-08-16,2026-01-04,northbound
42,化肥行业,-0.79,17,6528253939.18,0.024723536477,0.003706029288,3,-68144583.5791,-1.02609741,-0.000258074382,-3.8685049e-05,云天化,云天化,盐湖股份,辉隆股份,2024-08-16,2026-01-04,northbound
43,汽车整车,0.14,22,41749109189.85,0.02492733289,0.023700582551,5,-71096647.516,-0.17062623,-4.2450003e-05,-4.0360908e-05,赛力斯,赛力斯,比亚迪,金龙汽车,2024-08-16,2026-01-04,northbound
44,旅游酒店,0.62,16,6406937776.91,0.025050133604,0.003637159226,2,-71574938.4633,-1.09710082,-0.000279846915,-4.063243e-05,长白山,长白山,中国中免,祥源文旅,2024-08-16,2026-01-04,northbound
45,电源设备,-0.43,14,3078271060.19,0.01601799839,0.001747505966,5,-71664156.9518,-2.25428054,-0.000372909444,-4.0683078e-05,欧陆通,欧陆通,东方电气,盛弘股份,2024-08-16,2026-01-04,northbound
46,水泥建材,0.63,18,4861895260.58,0.017056292186,0.002760052902,1,-74654842.828,-1.4986427,-0.000261900914,-4.2380863e-05,西藏天路,西藏天路,鸿路钢构,鸿路钢构,2024-08-16,2026-01-04,northbound
47,多元金融,-0.41,19,2648458613.9,0.008182052587,0.001503505422,4,-75691875.2601,-2.74401289,-0.000233839751,-4.2969576e-05,中油资本,海德股份,江苏金租,江苏金租,2024-08-16,2026-01-04,northbound
48,商业百货,-0.83,25,2764396944.14,0.01115425242,0.001569322538,3,-79560660.9952,-2.75212515,-0.000321024698,-4.516585e-05,永辉超市,王府井,小商品城,友阿股份,2024-08-16,2026-01-04,northbound
49,造纸印刷,-0.73,17,3260754081.99,0.022130460499,0.001851099887,4,-80576862.4476,-2.38669071,-0.000546868309,-4.5742738e-05,东港股份,东港股份,太阳纸业,鸿博股份,2024-08-16,2026-01-04,northbound
50,工程机械,-0.54,18,25289156815.74,0.052710182192,0.014356420062,4,-85175418.7189,-0.33397825,-0.0001775311,-4.8353296e-05,柳工,安徽合力,三一重工,山河智能,2024-08-16,2026-01-04,northbound
51,非金属材料,-0.79,20,2246208761.18,0.009612102108,0.001275151906,4,-95872639.7321,-4.09686898,-0.00041026356,-5.4426009e-05,沃尔核材,联瑞新材,石英股份,力量钻石,2024-08-16,2026-01-04,northbound
52,贸易行业,-0.17,25,1812571876.2,0.008416560174,0.001028980264,1,-98389528.1602,-5.13214326,-0.000456865405,-5.5854824e-05,物产环能,物产环能,建发股份,跨境通,2024-08-16,2026-01-04,northbound
53,风电设备,0.59,20,3074367861.18,0.014737870154,0.001745290156,3,-98587396.8959,-3.05142999,-0.000472607157,-5.5967152e-05,中际联合,中际联合,明阳智能,恒润股份,2024-08-16,2026-01-04,northbound
