date,etf_code,etf_name,label_next_return,model_score,momentum_10d,momentum_5d,vol_score,model_norm,pred_score,pred_rank,actual_rank
2025-08-21,512690,白酒ETF,1.0,-0.00029754440779552506,0.5142857142857142,0.6,0.9428571428571428,0.0,0.5057142857142857,15.0,26.0
2025-08-21,512720,计算机ETF,4.85,-0.00029754440779552506,0.8,0.9428571428571428,0.8857142857142857,0.0,0.7314285714285715,6.0,6.0
2025-08-21,512760,芯片ETF,10.02,0.18283468101712583,0.8857142857142857,0.8857142857142857,0.5428571428571428,1.0,0.8685714285714285,1.0,1.0
2025-08-21,512800,银行ETF,-0.35,-0.00029754440779552506,0.02857142857142857,0.08571428571428572,0.34285714285714286,0.0,0.07285714285714286,35.0,35.0
2025-08-21,512880,证券ETF,3.48,-0.00029754440779552506,0.6857142857142857,0.6571428571428571,0.7428571428571429,0.0,0.5800000000000001,12.0,9.0
2025-08-21,512980,传媒ETF,2.74,-0.00029754440779552506,0.45714285714285713,0.6857142857142857,0.17142857142857143,0.0,0.42857142857142855,18.0,11.0
2025-08-21,515000,科技ETF,5.82,-0.00029754440779552506,0.8571428571428571,0.7428571428571429,0.6285714285714286,0.0,0.6714285714285714,9.0,4.0
2025-08-21,515030,新能源车ETF,1.73,-0.00029754440779552506,0.6571428571428571,0.5428571428571428,0.3142857142857143,0.0,0.48999999999999994,17.0,22.0
2025-08-21,515050,5GETF,4.03,0.009552717109463208,1.0,0.9714285714285714,0.22857142857142856,0.053787701724277034,0.7723538695443559,4.0,7.0
2025-08-21,515220,煤炭ETF,-0.09,-0.00029754440779552506,0.05714285714285714,0.11428571428571428,0.2,0.0,0.08,34.0,34.0
2025-08-21,515790,光伏ETF,2.54,-0.00029754440779552506,0.7428571428571429,0.8,0.5142857142857142,0.0,0.6257142857142857,10.0,13.0
2025-08-21,516150,稀土ETF,2.32,0.06503878876802076,0.9142857142857143,1.0,0.6857142857142857,0.3567713602792546,0.8335157040418882,2.0,16.0
2025-08-21,516510,云计算ETF,5.37,0.009552717109463208,0.9428571428571428,0.9142857142857143,0.11428571428571428,0.053787701724277034,0.7180681552586415,7.0,5.0
2025-08-21,588000,科创50ETF,9.52,0.18283468101712583,0.7714285714285715,0.8285714285714286,0.5714285714285714,1.0,0.8028571428571429,3.0,2.0
2025-08-22,159607,储能ETF,4.6,-0.00029754440779552506,0.14285714285714285,0.05714285714285714,0.2571428571428571,0.0,0.10714285714285714,33.0,4.0
2025-08-22,159611,电力ETF,1.19,-0.00029754440779552506,0.08571428571428572,0.2571428571428571,0.5714285714285714,0.0,0.17285714285714285,31.0,32.0
2025-08-22,159740,人工智能ETF,4.02,-0.00029754440779552506,0.17142857142857143,0.14285714285714285,0.4857142857142857,0.0,0.16857142857142857,32.0,5.0
2025-08-22,159766,旅游ETF,1.69,-0.00029754440779552506,0.22857142857142856,0.3142857142857143,0.8571428571428571,0.0,0.2828571428571428,24.0,24.0
2025-08-22,159825,农业ETF,1.15,-0.00029754440779552506,0.11428571428571428,0.42857142857142855,0.22857142857142856,0.0,0.20285714285714285,29.0,33.0
2025-08-22,159869,游戏ETF,1.24,0.009552717109463208,0.5142857142857142,0.6571428571428571,0.02857142857142857,0.03547506265094109,0.43674983082621255,20.0,31.0
2025-08-22,159901,深证100ETF,2.21,-0.00029754440779552506,0.7142857142857143,0.7142857142857143,0.6571428571428571,0.0,0.6014285714285714,10.0,15.0
2025-08-22,159915,创业板ETF,2.82,0.009552717109463208,0.8,0.7428571428571429,0.8285714285714286,0.03547506265094109,0.671035545111927,8.0,10.0
2025-08-22,159928,消费ETF,2.7,-0.00029754440779552506,0.3142857142857143,0.5428571428571428,0.9142857142857143,0.0,0.3957142857142857,21.0,11.0
2025-08-22,510050,上证50ETF,1.94,0.2773696612623099,0.4,0.4857142857142857,0.7142857142857143,1.0,0.5471428571428572,11.0,19.0
2025-08-22,510300,沪深300ETF,1.92,-0.00029754440779552506,0.5428571428571428,0.6285714285714286,0.8,0.0,0.5128571428571429,16.0,20.0
2025-08-22,510500,中证500ETF,1.76,-0.00029754440779552506,0.6,0.5714285714285714,1.0,0.0,0.5414285714285714,12.0,23.0
2025-08-22,512010,医药ETF,2.36,-0.00029754440779552506,0.2857142857142857,0.2,0.05714285714285714,0.0,0.19428571428571428,30.0,13.0
2025-08-22,512100,中证1000ETF,1.31,-0.00029754440779552506,0.5714285714285714,0.5142857142857142,0.7428571428571429,0.0,0.48571428571428565,18.0,30.0
2025-08-22,512170,医疗ETF,2.08,-0.00029754440779552506,0.34285714285714286,0.22857142857142856,0.14285714285714285,0.0,0.23714285714285716,26.0,17.0
2025-08-22,512200,房地产ETF,3.63,-0.00029754440779552506,0.37142857142857144,0.08571428571428572,0.2,0.0,0.21285714285714286,28.0,7.0
2025-08-22,512400,有色金属ETF,5.76,-0.00029754440779552506,0.42857142857142855,0.17142857142857143,0.45714285714285713,0.0,0.29,23.0,2.0
2025-08-22,512480,半导体ETF,1.45,0.11954717763754473,0.9714285714285714,0.9428571428571428,0.5142857142857142,0.43161280697918286,0.8361704924754487,3.0,26.0
2025-08-22,512580,环保ETF,2.11,-0.00029754440779552506,0.4857142857142857,0.2857142857142857,0.5428571428571428,0.0,0.35857142857142854,22.0,16.0
2025-08-22,512660,军工ETF,1.95,-0.00029754440779552506,0.2571428571428571,0.37142857142857144,0.34285714285714286,0.0,0.26142857142857145,25.0,18.0
2025-08-22,512670,国防ETF,1.85,-0.00029754440779552506,0.2,0.34285714285714286,0.37142857142857144,0.0,0.23,27.0,21.0
2025-08-22,512690,白酒ETF,3.78,-0.00029754440779552506,0.45714285714285713,0.6857142857142857,0.9428571428571428,0.0,0.5057142857142857,17.0,6.0
2025-08-22,512720,计算机ETF,1.33,0.13899705460130937,0.8285714285714286,0.8571428571428571,0.9714285714285714,0.5016602471038655,0.8023918942084369,4.0,29.0
