date,etf_code,etf_name,label_next_return,pred_score,pred_rank,actual_rank
2025-01-06,159607,储能ETF,-2.6,-0.05863065381523519,20.0,35.0
2025-01-06,159611,电力ETF,-0.73,-0.05709092857314917,18.5,31.0
2025-01-06,159740,人工智能ETF,-1.35,-0.07344876630194849,31.0,33.0
2025-01-06,159766,旅游ETF,0.45,-0.04230330640394611,14.0,26.0
2025-01-06,159825,农业ETF,0.47,-0.07979766968728813,34.0,25.0
2025-01-06,159869,游戏ETF,2.27,0.034763508857567724,1.0,7.0
2025-01-06,159901,深证100ETF,0.82,-0.05924750850576646,21.5,18.0
2025-01-06,159915,创业板ETF,0.71,-0.029952266667643956,11.0,20.0
2025-01-06,159928,消费ETF,0.26,-0.06806887793587614,26.0,28.0
2025-01-06,510050,上证50ETF,0.59,-0.06591229800325885,25.0,23.0
2025-01-06,510300,沪深300ETF,0.72,-0.05709092857314917,18.5,19.0
2025-01-06,510500,中证500ETF,1.07,-0.0630763410466045,23.0,16.0
2025-01-06,512010,医药ETF,-1.43,-0.06921434077714164,29.0,34.0
2025-01-06,512100,中证1000ETF,1.47,-0.025314468418603887,9.0,14.0
2025-01-06,512170,医疗ETF,-0.63,-0.048567339367611845,16.0,30.0
2025-01-06,512200,房地产ETF,0.87,0.008942526380023616,5.0,17.0
2025-01-06,512400,有色金属ETF,1.97,-0.07344876630194849,31.0,9.0
2025-01-06,512480,半导体ETF,4.49,-0.06838811181174924,27.5,1.0
2025-01-06,512580,环保ETF,-0.32,-0.05924750850576646,21.5,29.0
2025-01-06,512660,军工ETF,1.78,-0.002773600203893091,6.0,12.0
2025-01-06,512670,国防ETF,1.56,-0.027961559634454822,10.0,13.0
2025-01-06,512690,白酒ETF,0.7,-0.030530103659138337,12.0,21.5
2025-01-06,512720,计算机ETF,2.11,0.009575549427005992,3.0,8.0
2025-01-06,512760,芯片ETF,4.41,-0.06585407586678942,24.0,2.0
2025-01-06,512800,银行ETF,0.55,-0.07344876630194849,31.0,24.0
2025-01-06,512880,证券ETF,1.11,-0.011603022299894988,7.0,15.0
2025-01-06,512980,传媒ETF,1.8,0.009575549427005992,3.0,11.0
2025-01-06,515000,科技ETF,2.6,-0.06838811181174924,27.5,6.0
2025-01-06,515030,新能源车ETF,0.7,-0.07630004476487748,33.0,21.5
2025-01-06,515050,5GETF,3.18,-0.04851172081597649,15.0,3.0
2025-01-06,515220,煤炭ETF,-0.85,-0.08113948841155735,35.0,32.0
2025-01-06,515790,光伏ETF,0.41,-0.05251098188504457,17.0,27.0
2025-01-06,516150,稀土ETF,1.9,-0.02456361963080091,8.0,10.0
2025-01-06,516510,云计算ETF,2.69,0.009575549427005992,3.0,5.0
2025-01-06,588000,科创50ETF,2.93,-0.0319608207035229,13.0,4.0
2025-01-07,159607,储能ETF,-0.23,-0.054394353385544984,10.0,10.0
2025-01-07,159611,电力ETF,0.53,-0.053697901809756775,7.0,2.0
2025-01-07,159740,人工智能ETF,-0.51,-0.07344876630194849,21.0,17.0
2025-01-07,159766,旅游ETF,-0.6,-0.09065605842126863,29.0,18.0
2025-01-07,159825,农业ETF,-1.4,-0.09126079593559751,31.0,33.0
2025-01-07,159869,游戏ETF,-0.42,-0.05284987639972979,6.0,13.5
2025-01-07,159901,深证100ETF,-0.66,-0.0692498739605142,18.0,19.0
2025-01-07,159915,创业板ETF,-1.11,0.005838340046552322,1.0,29.0
2025-01-07,159928,消费ETF,-0.26,-0.09806635522773945,34.5,11.0
2025-01-07,510050,上证50ETF,0.23,-0.09590977529512215,32.5,4.0
2025-01-07,510300,沪深300ETF,-0.16,-0.09073812477939726,30.0,9.0
2025-01-07,510500,中证500ETF,-0.42,-0.07366806931505694,23.0,13.5
2025-01-07,512010,医药ETF,-0.87,-0.06082312498298502,13.0,23.0
2025-01-07,512100,中证1000ETF,-0.48,-0.02959002309997786,3.0,15.0
2025-01-07,512170,医疗ETF,-1.28,-0.056584515640852234,11.0,32.0
2025-01-07,512200,房地产ETF,-0.5,-0.06722787379731279,15.0,16.0
2025-01-07,512400,有色金属ETF,-1.62,-0.07344876630194849,21.0,35.0
2025-01-07,512480,半导体ETF,0.0,-0.05436257433075835,8.5,5.5
2025-01-07,512580,环保ETF,-0.32,-0.0714064538931315,19.0,12.0
2025-01-07,512660,军工ETF,-0.72,-0.01712101156753357,2.0,21.0
2025-01-07,512670,国防ETF,-1.23,-0.0596312753497079,12.0,30.0
2025-01-07,512690,白酒ETF,-0.69,-0.09806635522773945,34.5,20.0
2025-01-07,512720,计算机ETF,-1.03,-0.08665679735220055,28.0,26.0
2025-01-07,512760,芯片ETF,0.0,-0.05436257433075835,8.5,5.5
2025-01-07,512800,银行ETF,0.82,-0.07344876630194849,21.0,1.0
2025-01-07,512880,证券ETF,-1.1,-0.08450021741958326,26.5,28.0
2025-01-07,512980,传媒ETF,0.27,-0.032255614732904205,4.0,3.0
2025-01-07,515000,科技ETF,-0.79,-0.0478465572082088,5.0,22.0
2025-01-07,515030,新能源车ETF,-0.96,-0.09590977529512215,32.5,25.0
2025-01-07,515050,5GETF,-0.91,-0.06139156734821504,14.0,24.0
2025-01-07,515220,煤炭ETF,-1.24,-0.08113948841155735,24.0,31.0
2025-01-07,515790,光伏ETF,-0.14,-0.06862308749287858,17.0,8.0
2025-01-07,516150,稀土ETF,-1.57,-0.08436592025152984,25.0,34.0
2025-01-07,516510,云计算ETF,-1.07,-0.08450021741958326,26.5,27.0
2025-01-07,588000,科创50ETF,-0.1,-0.06830391572990165,16.0,7.0
2025-01-08,159607,储能ETF,0.35,-0.08850418737542622,25.5,12.0
2025-01-08,159611,电力ETF,-1.47,-0.08850418737542622,25.5,35.0
2025-01-08,159740,人工智能ETF,0.52,-0.07864708898465,20.0,10.5
2025-01-08,159766,旅游ETF,-0.45,-0.06716784455099872,15.5,30.0
2025-01-08,159825,农业ETF,-0.31,-0.08487639663437345,21.0,26.0
2025-01-08,159869,游戏ETF,0.32,0.008889588059349668,1.0,13.0
