date,top5_return,benchmark_return,excess_return,hit_count,hit_rate
2025-01-06,-0.518,1.048,-1.566,0,0.0
2025-01-07,-0.45,-0.586857142857143,0.13685714285714295,3,0.6
2025-01-08,0.252,0.2017142857142857,0.050285714285714295,3,0.6
2025-01-09,-1.048,-1.6491428571428572,0.6011428571428572,4,0.8
2025-01-10,-0.11000000000000001,0.017428571428571443,-0.12742857142857145,1,0.2
2025-01-13,3.042,3.5288571428571425,-0.48685714285714266,1,0.2
2025-01-14,-0.9460000000000001,-0.6162857142857142,-0.32971428571428585,1,0.2
2025-01-15,0.32799999999999996,0.1457142857142857,0.18228571428571425,2,0.4
2025-01-16,0.06399999999999999,0.5505714285714286,-0.4865714285714286,0,0.0
2025-01-17,0.9639999999999999,0.5828571428571429,0.381142857142857,2,0.4
2025-01-20,0.772,0.20514285714285713,0.566857142857143,2,0.4
2025-01-21,-1.1140000000000003,-0.9128571428571428,-0.2011428571428575,1,0.2
2025-01-22,-0.944,-0.15771428571428572,-0.7862857142857143,0,0.0
2025-01-23,2.4560000000000004,1.2937142857142858,1.1622857142857146,3,0.6
2025-01-24,-1.3719999999999999,-0.9362857142857142,-0.4357142857142857,2,0.4
2025-01-27,3.3379999999999996,0.9660000000000001,2.3719999999999994,3,0.6
2025-02-05,2.432,2.1174285714285714,0.3145714285714285,1,0.2
2025-02-06,0.9460000000000001,1.5505714285714287,-0.6045714285714286,0,0.0
2025-02-07,2.1499999999999995,0.9177142857142856,1.2322857142857138,4,0.8
2025-02-10,-0.41200000000000003,-0.7951428571428572,0.3831428571428571,2,0.4
2025-02-11,0.9940000000000001,1.4639999999999997,-0.46999999999999964,1,0.2
2025-02-12,-1.2239999999999998,-0.40628571428571436,-0.8177142857142854,1,0.2
2025-02-13,2.2700000000000005,1.0602857142857143,1.2097142857142862,4,0.8
2025-02-14,0.182,0.36228571428571427,-0.18028571428571427,2,0.4
2025-02-17,-2.024,-1.6557142857142857,-0.3682857142857143,1,0.2
2025-02-18,0.906,1.467142857142857,-0.561142857142857,1,0.2
2025-02-19,-1.6420000000000001,-0.054857142857142834,-1.5871428571428572,0,0.0
2025-02-20,0.82,2.1222857142857143,-1.3022857142857145,0,0.0
2025-02-21,-0.6119999999999999,-0.05742857142857143,-0.5545714285714285,0,0.0
2025-02-24,-1.3039999999999998,-1.3131428571428572,0.009142857142857341,1,0.2
2025-02-25,1.998,1.4462857142857144,0.5517142857142856,3,0.6
2025-02-26,-1.1059999999999999,-0.3562857142857143,-0.7497142857142856,0,0.0
2025-02-27,-3.2299999999999995,-2.988285714285714,-0.24171428571428555,2,0.4
2025-02-28,-0.4720000000000001,0.31457142857142856,-0.7865714285714287,1,0.2
2025-03-03,-0.7999999999999999,0.5525714285714286,-1.3525714285714285,0,0.0
2025-03-04,0.704,0.2582857142857143,0.4457142857142857,2,0.4
2025-03-05,0.834,2.2859999999999996,-1.4519999999999995,0,0.0
2025-03-06,-1.168,-0.5085714285714286,-0.6594285714285714,0,0.0
2025-03-07,-1.052,-0.2782857142857143,-0.7737142857142858,2,0.4
2025-03-10,1.1320000000000001,0.41685714285714287,0.7151428571428573,3,0.6
2025-03-11,0.011999999999999988,-0.1717142857142857,0.1837142857142857,2,0.4
2025-03-12,-0.8219999999999998,-0.8414285714285714,0.019428571428571573,3,0.6
2025-03-13,1.7380000000000002,2.1625714285714284,-0.42457142857142816,2,0.4
2025-03-14,-0.11599999999999996,-0.23228571428571426,0.1162857142857143,4,0.8
2025-03-17,0.3980000000000001,0.4622857142857143,-0.06428571428571422,1,0.2
2025-03-18,-0.502,-0.5051428571428571,0.003142857142857114,2,0.4
2025-03-19,-1.8719999999999999,-0.9457142857142857,-0.9262857142857142,1,0.2
2025-03-20,-2.242,-1.7831428571428571,-0.45885714285714285,1,0.2
2025-03-21,-0.009999999999999992,0.05800000000000002,-0.068,1,0.2
2025-03-24,-0.638,-0.4142857142857143,-0.2237142857142857,2,0.4
2025-03-25,-0.48600000000000004,0.03314285714285714,-0.5191428571428571,0,0.0
2025-03-26,-0.048,0.09142857142857144,-0.13942857142857146,1,0.2
2025-03-27,-0.876,-0.7177142857142859,-0.15828571428571414,2,0.4
2025-03-28,-0.756,-1.1325714285714286,0.37657142857142856,2,0.4
2025-03-31,1.062,0.4857142857142857,0.5762857142857143,3,0.6
2025-04-01,-0.724,-0.1137142857142857,-0.6102857142857143,0,0.0
2025-04-02,-0.7939999999999999,-0.5882857142857143,-0.20571428571428563,1,0.2
2025-04-03,-4.0200000000000005,-8.52857142857143,4.50857142857143,5,1.0
2025-04-07,2.156,0.7297142857142855,1.4262857142857146,3,0.6
2025-04-08,0.336,2.0888571428571434,-1.7528571428571433,0,0.0
2025-04-09,1.15,1.7565714285714285,-0.6065714285714285,0,0.0
2025-04-10,-1.168,0.6128571428571429,-1.7808571428571427,0,0.0
2025-04-11,0.32199999999999995,0.536,-0.21400000000000008,1,0.2
2025-04-14,-0.932,-0.42028571428571426,-0.5117142857142858,0,0.0
2025-04-15,-0.678,-0.404,-0.274,2,0.4
2025-04-16,0.27999999999999997,0.22257142857142856,0.05742857142857141,3,0.6
2025-04-17,-0.40599999999999997,-0.156,-0.24999999999999997,1,0.2
2025-04-18,0.6759999999999999,0.9874285714285715,-0.3114285714285716,2,0.4
2025-04-21,-0.33799999999999997,-0.24314285714285713,-0.09485714285714283,2,0.4
2025-04-22,-0.696,0.29285714285714287,-0.9888571428571429,0,0.0
2025-04-23,-1.7399999999999998,-0.7051428571428572,-1.0348571428571427,0,0.0
