date,etf_code,etf_name,label_next_return,model_score,model_score_norm,momentum_factor,reversal_bonus,pred_score,pred_rank,actual_rank
2025-01-06,159607,储能ETF,-2.6,0.0011099434023641973,0.26262878822358693,0.9428571428571428,0.15,0.45543441579129507,2.0,35.0
2025-01-06,159611,电力ETF,-0.73,-0.01013589373887368,0.0,0.8,0.15,0.255,17.0,31.0
2025-01-06,159740,人工智能ETF,-1.35,-0.01013589373887368,0.0,0.8857142857142857,0.15,0.2807142857142857,11.0,33.0
2025-01-06,159766,旅游ETF,0.45,-0.01013589373887368,0.0,0.37142857142857144,0.15,0.12642857142857145,25.0,26.0
2025-01-06,159825,农业ETF,0.47,-0.01013589373887368,0.0,0.6857142857142857,0.15,0.2207142857142857,20.0,25.0
2025-01-06,159869,游戏ETF,2.27,-0.01013589373887368,0.0,0.14285714285714285,0.15,0.05785714285714285,31.0,7.0
2025-01-06,159901,深证100ETF,0.82,-0.0012279035551522705,0.2080320600482076,0.6,0.15,0.3198192360289246,6.0,18.0
2025-01-06,159915,创业板ETF,0.71,-0.0012279035551522705,0.2080320600482076,0.4,0.15,0.25981923602892454,16.0,20.0
2025-01-06,159928,消费ETF,0.26,-0.0012279035551522705,0.2080320600482076,0.7428571428571429,0.15,0.3626763788860674,3.0,28.0
2025-01-06,510050,上证50ETF,0.59,-0.01013589373887368,0.0,0.8571428571428571,0.15,0.27214285714285713,13.0,23.0
2025-01-06,510300,沪深300ETF,0.72,-0.01013589373887368,0.0,0.7714285714285715,0.15,0.24642857142857144,18.0,19.0
2025-01-06,510500,中证500ETF,1.07,-0.0012279035551522705,0.2080320600482076,0.45714285714285713,0.15,0.27696209317178166,12.0,16.0
2025-01-06,512010,医药ETF,-1.43,-0.01013589373887368,0.0,0.8285714285714286,0.15,0.26357142857142857,15.0,34.0
2025-01-06,512100,中证1000ETF,1.47,-0.01013589373887368,0.0,0.3142857142857143,0.15,0.10928571428571428,27.0,14.0
2025-01-06,512170,医疗ETF,-0.63,-0.0012279035551522705,0.2080320600482076,0.6285714285714286,0.15,0.32839066460035315,5.0,30.0
2025-01-06,512200,房地产ETF,0.87,-0.0012279035551522705,0.2080320600482076,0.42857142857142855,0.15,0.2683906646003531,14.0,17.0
2025-01-06,512400,有色金属ETF,1.97,-0.01013589373887368,0.0,1.0,0.05,0.305,7.0,9.0
2025-01-06,512480,半导体ETF,4.49,-0.01013589373887368,0.0,0.08571428571428572,0.15,0.04071428571428572,33.0,1.0
2025-01-06,512580,环保ETF,-0.32,-0.0012279035551522705,0.2080320600482076,0.7142857142857143,0.15,0.35410495031463884,4.0,29.0
2025-01-06,512660,军工ETF,1.78,-0.0012279035551522705,0.2080320600482076,0.2,0.15,0.19981923602892454,22.0,12.0
2025-01-06,512670,国防ETF,1.56,-0.0012279035551522705,0.2080320600482076,0.2857142857142857,0.15,0.22553352174321029,19.0,13.0
2025-01-06,512690,白酒ETF,0.7,0.03268438204773896,1.0,0.5142857142857142,0.15,0.7692857142857142,1.0,21.5
2025-01-06,512720,计算机ETF,2.11,-0.01013589373887368,0.0,0.02857142857142857,0.15,0.02357142857142857,35.0,8.0
2025-01-06,512760,芯片ETF,4.41,-0.01013589373887368,0.0,0.17142857142857143,0.15,0.06642857142857142,30.0,2.0
2025-01-06,512800,银行ETF,0.55,-0.01013589373887368,0.0,0.9714285714285714,0.05,0.29642857142857143,9.0,24.0
2025-01-06,512880,证券ETF,1.11,-0.01013589373887368,0.0,0.11428571428571428,0.15,0.04928571428571428,32.0,15.0
2025-01-06,512980,传媒ETF,1.8,-0.01013589373887368,0.0,0.2571428571428571,0.15,0.09214285714285714,28.0,11.0
2025-01-06,515000,科技ETF,2.6,-0.01013589373887368,0.0,0.34285714285714286,0.15,0.11785714285714285,26.0,6.0
2025-01-06,515030,新能源车ETF,0.7,-0.01013589373887368,0.0,0.5714285714285714,0.15,0.1864285714285714,23.0,21.5
2025-01-06,515050,5GETF,3.18,-0.01013589373887368,0.0,0.22857142857142856,0.15,0.08357142857142856,29.0,3.0
2025-01-06,515220,煤炭ETF,-0.85,-0.01013589373887368,0.0,0.9142857142857143,0.15,0.28928571428571426,10.0,32.0
2025-01-06,515790,光伏ETF,0.41,-0.0012279035551522705,0.2080320600482076,0.5428571428571428,0.15,0.3026763788860674,8.0,27.0
2025-01-06,516150,稀土ETF,1.9,-0.01013589373887368,0.0,0.6571428571428571,0.15,0.21214285714285713,21.0,10.0
2025-01-06,516510,云计算ETF,2.69,-0.01013589373887368,0.0,0.05714285714285714,0.15,0.03214285714285714,34.0,5.0
2025-01-06,588000,科创50ETF,2.93,-0.01013589373887368,0.0,0.4857142857142857,0.15,0.1607142857142857,24.0,4.0
2025-01-07,159607,储能ETF,-0.23,0.03268438204773896,1.0,0.9142857142857143,0.15,0.8892857142857142,1.0,10.0
2025-01-07,159611,电力ETF,0.53,-0.01013589373887368,0.0,0.7142857142857143,0.15,0.22928571428571426,17.0,2.0
2025-01-07,159740,人工智能ETF,-0.51,-0.01013589373887368,0.0,0.9428571428571428,0.15,0.2978571428571429,5.0,17.0
2025-01-07,159766,旅游ETF,-0.6,-0.01013589373887368,0.0,0.42857142857142855,0.15,0.14357142857142857,29.0,18.0
2025-01-07,159825,农业ETF,-1.4,-0.01013589373887368,0.0,0.8285714285714286,0.15,0.26357142857142857,12.0,33.0
2025-01-07,159869,游戏ETF,-0.42,0.0011099434023641973,0.26262878822358693,0.11428571428571428,0.15,0.20686298721986646,21.0,13.5
